City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Alice Springs,AU,-23.7,133.8833,90.0,45,75,20.71,light rain
115,Sorata,BO,-15.7667,-68.6333,43.65,80,82,1.19,broken clouds
116,Bonfim,BR,3.0833,-59.95,73.94,74,56,8.48,broken clouds
117,Ponta Do Sol,PT,32.6667,-17.1,57.0,75,0,1.99,clear sky
118,Kavieng,PG,-2.5744,150.7967,84.24,76,100,13.0,overcast clouds
119,Youkounkoun,GN,12.5333,-13.1333,60.94,66,0,2.68,clear sky
120,Hukuntsi,BW,-24.0,21.75,81.7,47,8,8.55,clear sky
121,Goderich,CA,43.7501,-81.7165,17.6,86,100,10.36,light snow
122,Lazaro Cardenas,MX,17.9583,-102.2,73.42,73,21,2.48,few clouds
123,Gouyave,GD,12.1646,-61.7296,75.2,83,20,6.91,few clouds
124,Tautira,PF,-17.7333,-149.15,78.8,73,75,1.14,broken clouds
125,Komsomolskiy,UZ,40.4272,71.7189,41.0,38,0,2.77,clear sky
126,Flinders,AU,-34.5833,150.8552,70.0,93,100,4.0,light rain
127,Avarua,CK,-21.2078,-159.775,78.8,89,75,2.3,light rain
128,Albany,US,42.6001,-73.9662,12.0,61,30,1.01,scattered clouds
129,East London,ZA,-33.0153,27.9116,71.6,68,0,13.8,clear sky
130,Skibbereen,IE,51.55,-9.2667,46.4,87,75,23.02,broken clouds
131,Koshurnikovo,RU,54.1667,93.3,24.08,98,100,16.6,snow
132,Lasa,IT,46.6166,10.7002,32.0,93,90,3.44,overcast clouds
133,Paslek,PL,54.0616,19.6593,30.0,100,90,10.58,overcast clouds
134,Nome,US,64.5011,-165.4064,10.4,61,90,8.05,light snow
135,Carutapera,BR,-1.195,-46.02,75.69,91,100,5.7,overcast clouds
136,Port-Gentil,GA,-0.7193,8.7815,77.0,94,40,9.44,scattered clouds
137,Epernay,FR,49.05,3.95,50.0,81,20,16.11,few clouds
138,Harper,LR,4.375,-7.7169,77.94,89,0,6.82,clear sky
139,Tual,ID,-5.6667,132.75,83.16,78,100,17.85,overcast clouds
140,Badulla,LK,6.9895,81.0557,70.07,87,100,4.07,overcast clouds
141,Fort-Shevchenko,KZ,44.5086,50.263,38.61,77,100,19.35,overcast clouds
142,Praia,CV,14.9215,-23.5087,71.6,43,0,12.66,clear sky
143,Geraldton,AU,-28.7667,114.6,93.2,31,0,24.16,clear sky
144,Nouadhibou,MR,20.931,-17.0347,64.4,52,0,12.66,clear sky
145,Nokaneng,BW,-19.6667,22.2667,74.21,81,100,7.16,light rain
146,Mkushi,ZM,-13.6202,29.3939,67.06,92,100,2.93,light rain
147,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,72,75,23.11,broken clouds
148,Kapaa,US,22.0752,-159.319,73.4,68,1,19.57,clear sky
149,Mpraeso,GH,6.5932,-0.7346,70.68,95,2,2.48,clear sky
150,Santa Maria,BR,-29.6842,-53.8069,69.48,97,22,3.31,few clouds
151,Lima,PE,-12.0432,-77.0282,72.0,83,0,8.05,clear sky
152,Mount Isa,AU,-20.7333,139.5,100.4,25,40,12.66,scattered clouds
153,Panaba,MX,21.2833,-88.2667,66.76,85,3,8.25,clear sky
154,Tinskoy,RU,56.1525,96.9161,-11.04,89,100,7.02,snow
155,Mola Di Bari,IT,41.0609,17.0873,45.0,87,0,6.91,clear sky
156,Khatanga,RU,71.9667,102.5,-47.47,72,0,2.84,clear sky
157,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,94,75,28.77,broken clouds
158,Clyde River,CA,70.4692,-68.5914,-18.4,76,1,8.05,clear sky
159,Trat,TH,12.5,102.5,93.0,49,20,11.5,few clouds
160,Upington,ZA,-28.4478,21.2561,73.4,31,0,3.44,clear sky
161,Georgetown,MY,5.4112,100.3354,89.01,51,20,5.75,few clouds
162,Maniitsoq,GL,65.4167,-52.9,25.75,77,0,5.7,clear sky
163,Ribeira Brava,PT,32.65,-17.0667,57.0,95,1,3.0,clear sky
164,Allapalli,IN,19.4167,80.0667,83.03,53,66,6.04,broken clouds
165,Linjiang,CN,41.8069,126.9078,6.82,77,4,5.82,clear sky
166,Bredasdorp,ZA,-34.5322,20.0403,64.4,59,75,11.5,broken clouds
167,Padang,ID,-0.9492,100.3543,86.0,66,20,9.22,few clouds
168,Butaritari,KI,3.0707,172.7902,80.96,79,83,15.55,broken clouds
169,Norman Wells,CA,65.282,-126.8329,-36.4,67,20,3.44,few clouds
170,Antalaha,MG,-14.9003,50.2788,85.33,62,100,5.06,overcast clouds
171,Bethel,US,41.3712,-73.414,15.8,53,1,5.75,clear sky
172,Ixtapa,MX,20.7,-105.2,70.0,81,0,3.18,clear sky
173,Caorle,IT,45.5966,12.8758,32.0,93,100,5.32,overcast clouds
174,Nalut,LY,30.3333,10.85,49.12,58,0,2.59,clear sky
175,Pochutla,MX,15.7432,-96.4661,71.01,85,100,3.0,overcast clouds
176,Nyrob,RU,60.733,56.7202,21.2,97,100,5.53,overcast clouds
177,Muravlenko,RU,63.7898,74.523,-28.79,84,33,11.79,scattered clouds
178,Menongue,AO,-14.6585,17.691,63.46,91,100,5.95,overcast clouds
179,Gigmoto,PH,13.7796,124.39,75.92,79,100,19.89,overcast clouds
180,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,50.74,46,0,2.93,clear sky
181,Derzhavinsk,KZ,51.1,66.3167,24.12,93,0,7.99,clear sky
182,Evanston,US,42.0411,-87.6901,17.6,62,1,2.89,clear sky
183,Vanimo,PG,-2.6741,141.3028,84.02,74,67,11.23,broken clouds
184,Tuatapere,NZ,-46.1333,167.6833,48.0,80,98,8.01,overcast clouds
185,General Roca,AR,-39.0333,-67.5833,62.6,63,75,8.05,light rain
186,Aklavik,CA,68.2191,-135.0107,-23.8,76,54,6.91,broken clouds
187,Touros,BR,-5.1989,-35.4608,77.0,83,20,5.75,few clouds
188,Ginir,ET,7.1333,40.7,67.37,31,1,7.65,clear sky
189,Arraial Do Cabo,BR,-22.9661,-42.0278,75.83,87,3,17.87,clear sky
190,Ati,TD,13.2154,18.3353,70.45,18,0,15.93,clear sky
191,Umm Lajj,SA,25.0213,37.2685,70.27,57,1,14.85,clear sky
192,Osterburg,DE,52.7833,11.7667,30.99,73,100,1.99,overcast clouds
193,Itiuba,BR,-10.6917,-39.8536,67.06,96,100,3.62,overcast clouds
194,Zhangye,CN,38.9342,100.4517,31.33,69,0,3.15,clear sky
195,Ulaanbaatar,MN,47.9077,106.8832,19.4,58,40,17.9,scattered clouds
196,Miandrivazo,MG,-19.5167,45.4667,87.21,62,3,2.3,clear sky
197,Evensk,RU,61.95,159.2333,-3.42,84,100,9.86,overcast clouds
198,Provideniya,RU,64.3833,-173.3,-4.88,83,100,14.12,overcast clouds
199,Chulym,RU,55.0997,80.9572,24.8,98,100,15.64,overcast clouds
200,Novomyshastovskaya,RU,45.1991,38.5827,39.0,79,63,11.81,broken clouds
201,Manbij,SY,36.5281,37.9549,39.2,100,90,9.22,light rain
202,Faanui,PF,-16.4833,-151.75,81.55,68,100,9.84,overcast clouds
203,Imeni Zhelyabova,RU,58.9544,36.5956,29.07,99,100,9.44,snow
204,Jasdan,IN,22.0333,71.2,75.0,25,0,10.36,clear sky
205,Cervo,ES,43.6702,-7.4101,54.0,99,97,8.99,overcast clouds
206,Hare Bay,CA,48.8499,-54.0148,21.2,93,90,6.91,light snow
207,Mayo,US,38.8876,-76.5119,27.0,50,75,17.47,broken clouds
208,Ribeira Grande,PT,38.5167,-28.7,61.39,70,13,34.2,few clouds
209,Lebu,CL,-37.6167,-73.65,59.07,97,100,14.94,overcast clouds
210,Paamiut,GL,61.994,-49.6678,33.4,83,96,6.17,overcast clouds
211,Saint-Augustin,CA,51.226,-58.6502,8.24,91,0,8.12,clear sky
212,Sakaiminato,JP,35.55,133.2333,35.6,51,75,27.63,light snow
213,Barcelos,PT,41.5388,-8.6151,55.4,100,75,12.66,light intensity drizzle
214,Torrox,ES,36.7579,-3.9523,57.99,60,54,1.99,broken clouds
215,Marrakesh,MA,31.6315,-8.0083,50.0,71,0,3.44,clear sky
216,Ardmore,US,34.1743,-97.1436,39.99,75,1,5.75,clear sky
217,Wana,PK,32.2989,69.5725,50.9,36,0,3.87,clear sky
218,Acapulco,MX,16.8634,-99.8901,75.04,75,98,4.83,overcast clouds
219,Champerico,GT,14.3,-91.9167,68.0,85,90,2.86,overcast clouds
220,Dunedin,NZ,-45.8742,170.5036,53.01,74,99,5.99,overcast clouds
