City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Lusambo,CD,76.33,overcast clouds,-4.9667,23.45,
305,Ahipara,NZ,61.32,clear sky,-35.1667,173.1667,
306,Quang Ngai,VN,73.49,light rain,15.1167,108.8,
308,Sao Joao Da Barra,BR,75.09,clear sky,-21.6403,-41.0511,
310,Cabo San Lucas,MX,62.01,clear sky,22.8909,-109.9124,
313,Auki,SB,77.25,overcast clouds,-8.7676,160.7034,
314,Kutum,SD,62.31,clear sky,14.2,24.6667,
315,Mahibadhoo,MV,81.07,broken clouds,3.7833,72.9667,
316,Dingle,PH,77.41,overcast clouds,10.9995,122.6711,
317,Palu,ID,84.61,overcast clouds,-0.8917,119.8707,
319,Cururupu,BR,73.99,broken clouds,-1.8283,-44.8683,
321,Victoria,HK,71.01,clear sky,22.2855,114.1577,
322,Madruga,CU,64.4,clear sky,22.9114,-81.8561,
327,Castro,BR,64.2,overcast clouds,-24.7911,-50.0119,
329,Sao Geraldo Do Araguaia,BR,71.53,light rain,-6.4006,-48.555,
331,Dubbo,AU,84.2,overcast clouds,-32.25,148.6167,
332,Gao,ML,61.99,clear sky,16.6362,1.6369999999999998,
335,Rio De Janeiro,BR,79.0,clear sky,-22.9028,-43.2075,
337,Gua Musang,MY,86.38,overcast clouds,4.8823,101.9644,
338,Namibe,AO,73.72,overcast clouds,-15.1961,12.1522,
339,Caramay,PH,82.45,few clouds,10.1815,119.236,
342,Nalvo,PH,75.47,broken clouds,16.8096,120.5108,
344,Kudahuvadhoo,MV,80.78,broken clouds,2.6708,72.8944,
349,Moroni,KM,83.91,few clouds,-11.7022,43.2551,
352,San Cristobal,VE,63.88,overcast clouds,7.7669,-72.225,
354,Lamu,KE,80.89,overcast clouds,-2.2717,40.902,
360,San Andres,CO,80.6,few clouds,12.5847,-81.7006,
361,Sao Joaquim,BR,60.98,overcast clouds,-28.2939,-49.9317,
363,Aguimes,ES,63.99,clear sky,27.9054,-15.4461,
364,Conceicao Do Araguaia,BR,72.09,broken clouds,-8.2578,-49.2647,
369,Yarim,YE,61.7,clear sky,14.298,44.3779,
370,Nampula,MZ,80.6,broken clouds,-15.1165,39.2666,
371,Tombouctou,ML,61.56,clear sky,20.0,-3.0,
372,Fare,PF,82.11,overcast clouds,-16.7,-151.0167,
373,Monkey Hill,KN,76.95,few clouds,17.3167,-62.7167,
374,Douentza,ML,60.42,scattered clouds,14.9951,-2.9517,
375,Hirara,JP,60.8,broken clouds,24.8,125.2833,
